UF,Cidade,Codigo,TotalEleitores,TotalComparecimento
"AC","ACRELÂNDIA",1120,10013,8010.4
"AC","ASSIS BRASIL",1570,6704,5363.2
"AC","BRASILÉIA",1058,18992,15193.6
"AC","BUJARI",1007,10480,8384.0
"AC","CAPIXABA",1015,7988,6390.4
"AC","CRUZEIRO DO SUL",1074,61549,49239.2
"AC","EPITACIOLÂNDIA",1112,13390,10712.0
"AC","FEIJÓ",1139,22510,18008.0
"AC","JORDÃO",1104,5263,4210.4
"AC","MÂNCIO LIMA",1090,13791,11032.8
"AC","MANOEL URBANO",1554,7809,6247.2
"AC","MARECHAL THAUMATURGO",1040,11402,9121.6
"AC","PLÁCIDO DE CASTRO",1511,12440,9952.0
"AC","PORTO ACRE",1023,13943,11154.4
"AC","PORTO WALTER",1066,7474,5979.2
"AC","RIO BRANCO",1392,270641,216512.8
"AC","RODRIGUES ALVES",1082,11367,9093.6
"AC","SANTA ROSA DO PURUS",1031,3796,3036.8
"AC","SENADOR GUIOMARD",1538,18322,14657.6
"AC","SENA MADUREIRA",1457,29847,23877.6
"AC","TARAUACÁ",1473,27368,21894.4
"AC","XAPURI",1490,12468,9974.4
"AL","ÁGUA BRANCA",27014,16351,13080.8
"AL","ANADIA",27030,13027,10421.6
"AL","ARAPIRACA",27057,153921,123136.8
"AL","ATALAIA",27073,32386,25908.8
"AL","BARRA DE SANTO ANTÔNIO",27090,13904,11123.2
"AL","BARRA DE SÃO MIGUEL",27111,7705,6164.0
"AL","BATALHA",27138,13475,10780.0
"AL","BELÉM",27154,5048,4038.4
"AL","BELO MONTE",27170,6105,4884.0
"AL","BOCA DA MATA",27197,20048,16038.4
"AL","BRANQUINHA",27219,9494,7595.2
"AL","CACIMBINHAS",27235,8796,7036.8
"AL","CAJUEIRO",27251,14788,11830.4
"AL","CAMPESTRE",27081,5947,4757.6
"AL","CAMPO ALEGRE",27278,26757,21405.6
"AL","CAMPO GRANDE",27294,9124,7299.2
"AL","CANAPI",27316,14935,11948.0
"AL","CAPELA",27332,13127,10501.6
"AL","CARNEIROS",27359,7436,5948.8
"AL","CHÃ PRETA",27375,6744,5395.2
"AL","COITÉ DO NÓIA",27391,9474,7579.2
"AL","COLÔNIA LEOPOLDINA",27413,15381,12304.8
"AL","COQUEIRO SECO",27430,5277,4221.6
"AL","CORURIPE",27456,41462,33169.6
"AL","CRAÍBAS",28894,21155,16924.0
"AL","DELMIRO GOUVEIA",27472,40448,32358.4
"AL","DOIS RIACHOS",27499,9625,7700.0
"AL","ESTRELA DE ALAGOAS",27049,12760,10208.0
"AL","FEIRA GRANDE",27510,18777,15021.6
"AL","FELIZ DESERTO",27537,3851,3080.8
"AL","FLEXEIRAS",27553,8774,7019.2
"AL","GIRAU DO PONCIANO",27570,28118,22494.4
